user,disc,channel_id,label
shruti2406,stores temperature sensors readings,573703,t
srishti10,stores temperature sensor readings,573704,t
akshar123,stores temperature sensor readings,573708,t
tssiot,read temperature and humidity from dht22 on wemos d1 mini,359837,t
skybutterfly,sending data from raspberry to thingspeak,573442,o
dllcf2002,zalishchyky gimnasia meteostation based on esp8266 board,361732,u
gun007,ch1 collect temperature and humidity data from adafruit feather esp8266 module,395910,t
yhhuangntu,csbb thermal monitor from ds18b20 sensor,103703,t
tiquis,test weather channel,126817,w
thidiyas3d,with connectivity we thrive,570998,u
huminsky92,inductive sensing,486791,o
kuriosimperium,there is heat in se serverroom,314286,t
dalitton,electric imp connected to max31855 thermocouple amp from adafruit reading glass fusing kiln temperature,223016,t
jameshudson09,temp of the spa,531129,t
parksm69,temperature humidity dust of soonmin park living room,64611,t
naveenvaid,status location,572871,u
dolfwolkov,test for thing speak,363528,o
koroito,myhouse east 2nd outside,342043,u
tomascary,temperature in miner room,458862,t
sensors,dht22 temperature humidity sensor driven by a raspberry pi 2 running a python script,324453,t
brianfordin,open or closed what is the temperature,167405,t
jackvandongen,digital smart meter readings every five minutes the dsm connected particle sends out a telegram regarding the actual kwh1 kwh2 and m3gas values,565015,t
tmxmobile1,am2301 humidity and temperature sensor sonoff th16,470428,t
lindsaytrott,mckinley hive weight change in the last 10 minutes and the last 20 minutes,293304,o
honzabrecka,8 x 240w solar panels schutten and 2 kw direct dc water heater,10184,e
jleenhouts,temperatures in laundry room,293285,t
roboticgnomelab,this channel displays data collected by the flc robotic gnome lab buoy timecontrol routinely runs a matlab script to parse analyze the data and post it to this channel,438240,o
spalky,collecting temp pressure humidity data,368739,t
pny,wireless temperature and humidity monitor located in link,4293,t
pny,wireless temperature and humidity monitor located in link,4292,t
w61235678,monitor temperature and humidity from my dry aged room,504578,t
nypsmartcampus,fish pond monitoring system,556183,o
rogfri,testing esp8266 with ds18b20 batterypower,214514,e
peteh59,temperature humidity and light level in guest bedroom,277385,t
nymare,collect and send all wifi data,327740,o
griesu62,vaillant vrc 410 heating device monitoring,266302,t
sully503,remote temperature and humidity monitor data sent via wifi through a router to thing speak for interpolation operates 24 7 and allows temperature recording for applications needing logging capabilities,266928,t
naren4141,to know the status of classroom power control,572575,e
amirulamzar,this is gas detector project,572570,o
kissada,test temp project research,524285,t
atharejaz,inventory,572578,o
HugoHavn,read temperature humidity and carbondioxide arduino nano and esp 01 is used,305516,t
flash03,it begins finally,571484,u
bioc0765,updated every 10 min,477411,u
laurens1977,temperature and humidity in bielefeld,542001,t
kettle,a variety of sensors and arduinos nodemcu collecting data around my house,323408,o
ncchristen,thingspeak make channel for rpi with bme280 and pms7003,558324,o
alagupandi,to monitor any analog sensor value,571909,o
ziltec01,photon and bmp280,265786,o
davidbird,esp8266 and bme280 outside temperature humidity and pressure sensor,317063,o
pesa11,foxtrot adatok,265788,u
ppet36,energy monitoring for my cottage it based on esp8266 current transformer precision rectifier with opamp and mcp3421 18bit a d converter,157732,e
atbates,south ealing station,268261,u
herokun,some info about the isar river in munich like water level water flow and water temperature taken from http hnd bayern de and updated quarter hourly,310723,t
dango9999,esp8266 with ds18b20,62123,o
natashaparwani24,iot workshop,573760,u
deepatidar1998,iot workshop,573766,u
adminit,stores temperature sensor reading,573764,t
ok2sro,lancontroller tinny v2,50862,u
matthimax,weather and water well conditions,282750,w
joelgeri,thats mr edison to you,573425,u
sensorla,nus l2 people counter,430923,u
antonionav,esp8266 standalone with dht11,338373,o
bianchirider,solar powered weather station in a bird house 15 minute sample rate,374687,w
starscreen,sensors dht22 and ds18b20 in our greenhouse air temperature humidity,103580,t
jackbeanstock1,solar power weather station,262787,w
jfmergen,geiger counter with counts min other sensors to be added counter is located in baltimore,425163,o
richdonn,front room temprature,453108,t
c4sius,weather station at office,161325,w
sunny7488,temperature and rh of rm1201,279899,t
tomgeorge,testing esp32 installation,527701,o
tel1203,environmental measurement at ckp vislab office,298025,w
tuczap,shinyei ppd42 air quality sensor 1 3 temperature humidity sesnor 1 0,250150,t
useless1001,another test with another account,244192,o
novanostron4,data collected from the lodge,203920,u
jessedc,tracking the solar system,445104,o
netprince,office sensors,438824,o
slavrent,temperature and hummidity sensors from flat tukhachevskogo 25,99958,t
costinstroie,weather station powered by nodemcu sensors bme280 tsl2561,212922,w
bukhary,mini project for computer interfacing,572766,u
cedronics,all the work related to cedar and juniper,570529,u
nisone,raspberry,570523,u
rushikesh117,temperature humidity,570527,t
paramathma,for interfacing labview,573956,o
cleeve7,weather station bishops cleeve gloucestershire uk,14664,w
juzzie_tspk3,arduino based geiger counter w sbm 19 geiger tube and uv sensor,567582,o
whimmler,some outdoor infos,252414,w
sreeraju12,my room temperature read from lm35 on arduino,572604,t
eldhose123,learning temperature to cloud,572605,t
bigjohnson,second ups statistics,125440,o
trackerj,nextempmon battery test,511534,e
atxguitarist,temperature in chicken coop,295304,t
dammwj,records barometric pressure,233318,w
preet9,weather from dht11,571800,w
rosslagoy,temperature and humidity of asi ramm screen room,339764,t
rberkelm,soil moisture monitoring at jasmin and new citrus slopes,273991,o
pipzed,temperature humidity sensors esp8266 am2320 with a lipo charger under over voltage protection and 3 7v 780mah lipo battery,257611,t
simwill2,this is a test with nodemcu,242450,o
timmeh22,temperature and humidity sensor located in the living room,380399,t
jankusy12345,teploty_metyl,245456,u
gzilly,local weather data in k nigsbach stein germany,435058,w
monique28,iot workshop,573730,u
djorev,nodemcu esp8266 bme280 weather station,381761,w
baurd,with alphasense opc n2 running on alternator power,318099,e
karthikeya05,automatic weather station,492754,w
richardgreen1976,home weather station,256881,w
rodkwate88,this is channel for agrihealth by kolatel,572594,u
ecgecrajkot,sensor data from nodemcu is communicated to thingspeak,572593,o
periloso,an lnd7317 tube has been connected through the theremino geiger sensor to an esp8266 tasmota firmware,382238,o
pfleming,outside temp barometer and humidity,297264,t
mecuy62,weather station esp8266 bmp280 bme280 dht22,305396,w
zitounesup1,aqi index computed from a wheatherduino station,338963,w
sinux01,temperatures humidity and luminosity sensors,142129,t
andrew1976,count pulses from 3 sources and relay to server,573008,o
dafounder,wemos d1 mini lite read temperature and humidity from dht22,556416,t
garlieb,radmon plus with bme680 sensor,400953,o
asadkhanak47,iot workshop,573745,u
komalsadhwani22,iot workshop,573747,u
kalpeshshah1008,this project is ment for temperature monitering on the live basis,570299,t
jimmylamhk,my first weather station with 2 sensors,207105,w
deathkiller183,only temperature in celcius,572831,t
andriyhz,ternopil real time outdoor air quality monitor point 1,371428,o
terryephillips,weather station bought in spring of 2017 from karl berger,340865,w
pwk451,fan status 0 fan off 1 fan on,573409,o
pwk451,light status 0 light off 1 light on,573408,e
albar2018,outdoor weather data rheinzabern germany,434228,w
polaraditia,show room sensing,439347,o
pwk451,device control 0 lighton 1 lightoff 2 fan on 3 fan off,573405,o
jmlgrant,from some raspberry pi with dht22,216541,u
celiagarrido93,welcome to ecosense thingspeak channel,218708,o
daynagan,ict weather station,573461,w
seawoods,esp8266 bme280 lacrosse anemometer and rain gauges modified,127185,w
sfchan,monitor temperature humidity and heat index,145737,t
saguntudu,audrino based heart beat monitoring system,571757,o
ahunter10_tspk4,wet monitor,12075,u
manhnn17,outer temperature real values humidity probably not good values of 2x dht22 bme280 for comparition of sensors output esp8266,358216,t
pfp8808,wireless outdoor thermometer esp8266 ds18b20,46888,t
auteres,let the force be,323613,u
maartenpennings,ens210 relative humidity and temperature sensor by ams,249563,t
aaloxian,recording current,301377,e
odeliss,show temperature humidity and pressure collected in the birdnest,553486,t
fullcapacity,capasitty is a solar powered wi fi ap and usb recharge station bundled in a concrete park bench,343355,o
rahul1081987,training temperaturesensor,572627,t
stephanellis,temp sensors in the freezer,482566,t
chahatagarwal,average pollution intensity obtained such as to obtain alternate path with help of this value,390753,o
kkevin5135,self regulating temperature controller for infant warmers,451542,t
patriciaweek6,this is for the monitoring system,569413,u
patriciaweek6,this is for the monitoring system,569411,u
mikekgr,elias channel that hold temperature and humidity measures,169516,t
ruby1708,short film science engineering,571822,u
xevjlfy1978,thermostabilised box,174156,t
peteh59,temperature humidity and light level in master bedroom,7724,t
aluiziorn,energy produced and battery charging data,225747,e
marwol18,this is a raspberry pi 2 and dht22 based dy room condition monitoring system,339746,o
daltonrdo,santaclaratempbot provide temperature and related infos in real time in santa clara california usa silicon valley powered by smartytempy a smartywiot solution wanna be an ambassador in your district wanna use our open data contact us,341850,t
tangophi,data coming from sensors and relay states from ac wall sockets outfitted with microcontrollers and esp8266 modules,32932,e
kuroken72,temperature humidity monitor,340328,t
mengtzu0627,teacher,570885,u
thill2630,monitoring water levels to help automate water storage tank 2 sensor being installed and site temp humidity,480876,o
pmfacse,healthcare,571489,u
adamjennison111,i am building many sensors using nodemcu and lua trying to connect everything together,64519,o
dim4576,testing 2,467085,u
joeattapon,to monitor humidity temperature and lighting at home,62113,t
geovogel,davis weather station on the roof of 417 mandarin flyway,210071,w
geovogel,power meter at 417 mandarin flyway,210077,e
Sander_826,temperature and humidity levels,98163,t
mavmav7757,for home use,404102,u
murali18,to check the water level in dam,571590,o
slingmaster,smart home,135846,u
sujay143,mathwork,571108,u
intelekiot006,smart monitoring system for temperature humidity and light sensor,455671,t
akki2574,monitoring temperature using lm35 sensor,570312,t
powerware,rds110 thermostat,211038,t
wsnmandi,data from node 2 located inside a1 office room,290092,u
nobo37,solar powered weather station esp32 running micropython,534753,w
kerimc14,chcs project 6 axis data logging,570279,o
mifulapirus,do you want to know how many times you have squished your connected gato,270831,o
ppet36,diy multi zone regulation in my house based on arduino dallas onewire bus and thermoelectric valves,83994,t
zeeshan1996,practice work for iot lab,572819,u
abdullahyounis22,the purpose of this channel is totally related to internet of things with the help of this platform where we learn now things related to iot,572817,u
umerfarid53,the purpose of this channel is totally related to internet of things with the help of this platform we learn new things related to iot,572816,u
nadiahijab,internet of things,572811,u
skyscrapper007,it is the most emerging technology in cs field,572810,u
ferdicoast,home temperature monitoring,226971,t
sapedu,room temperature humidity using si7021 lux using tsl2561 barometric pressure bmp180,316776,t
softis,weather at taursa observatory,306254,w
marinamyat,this channel measures pulse rate and temperature for id 569607,569607,t
karenbobiv,this is the air temperature at the pool,15365,t
sarosh123,smart home automation using iot and arduino uno for 13 09 2018,574089,o
smishra401,record the health of tpms in every 18hrs,515960,o
pwntech002,computer room,478810,u
rubenayrapetyan,environment data of country house,308185,w
anusha0103,measuring weather parameters,571313,w
ikarwisit,this channel shows temperature and pressure logged by raspberry pi and a bmp180 sensor using rpispy implementation,378718,t
iamshanmukha,which detects the hazardous gaseous and show it in the lcd and and upload it to the webserver in the form of ppm,572375,o
troutinsights,reports pond temperature every 15 minutes to cloud via cellular,572257,t
erik84750,upload of moisture sensor data received over hc12,393864,o
khunnay,real weather at home,573026,w
ahnchul76,ach_temp humid,328556,t
ckeijzer,field monitor,293757,u
jcocciardi,temperature and humidity monitoring device 2,329600,t
outofxs,just some temerature readings from my htpc,38853,t
aspirac,my paris home temperature humidity etc,544926,t
nhorward,all statistics related to harold my hamster,345243,o
theprez,analysing the wi fi signal strength rssi of an esp8266 to a thingspeak channel using the thingspeak api,235217,o
mamail54610,charles gerber 54 hotmail fr,352531,u
crannog,combined weather and diagnostic data from arduino based station,343375,w
olemin,kyiv outdoor temp pressure,254141,t
misterdog,power data from the hut,260164,e
ssunilkumar,demonstrate dht11 from arduino,568385,t
jonandel,heating and data for house taking feeds from 1 nanode arduino clone 2 electric imp,390779,t
earlyengineers,monitoring the updates from temperature and humidity sensor5,566725,t
jwtrexler,air t rh water t,380234,u
ocampossoto,heartrate monitor project,566877,o
icenine,first test,465270,u
lemonkey,in f,374252,t
erwin713,temperature and humidity some other shit,536193,t
irishrockr,channel to monitor environmental conditions of my apartment channel is supplied data via an esp8266 wifi module which has a bme280 sensor connected to it these are powered from a usb wall socket outlet for minimal setup installation,266187,y
zawisza,nodemcu weather data balkon,490334,w
pallismn,outside temperature in beaconsfield uk,424409,t
apulai,pa temperature humidity pressure,439549,t
gandipg,temperature and humidity,259103,t
estave,pig easy sow feeder 5,559894,o
margarine,temperature of cold room 1,116848,t
zangaby,solar powered temperature humidity pressure sensor,297993,e
wictor,testing,7296,u
nom4476,about room 205,297228,u
chinmayeeabit,educational,571063,u
pratapabit,department of cse,571060,u
estave,pig easy sow feeder 3,559892,u
joharo,check temperature of cooking field with infrared sensor,484541,t
capitalchemist,analytics channel for southlands,455619,u
vzaoral,meteo data from wifi meteo station located on gru,403355,o
prithwijit,trying to upload the data,568977,u
atwin140,temp of the chicks,108185,t
tuananhutehy1620,smart home,572409,u
blenheim,weather station iot,379398,w
yhcheng1108,test for iot,572873,u
marinamyat,this channel measures pulse rate and temperature for id 532501,532501,t
athulmangalam,athul,570923,u
danee66,dust sensor and bmp180 sensor connected to an esp8266,72577,t
zeljko60,3x ds18b20 on raspberry pi,214106,t
kociubin,data about house living room conditions,354702,u
siddhath022,testing iot,404808,u
sevenlayerorg,temperature logger with esp8266 and ds18b20 sensor,40950,t
rockproper,iofthings accel data,572665,o
rockproper,iofthings accel data,572666,o
rockproper,iofthings accel data,572667,o
amanr1997,for the prototype of smart irrigation,572661,o
mariagmail2,temp s2,572663,t
nicolaasbotes,channel for nico to show speedtest,351868,o
dduley,temperatures on the property,380036,t
lalex65,test esp8266 and ds18b20,419324,t
gowerst,counter of scenarios,301749,u
moungs,temperature and humidity monitor,277301,t
divyaamulu,temp plotting,571868,t
funracer,alarme vom wlan thermo nano,571315,t
anusha0103,measuring weather parameters,571311,w
hman0369,wlan thermo,395292,t
jpb032,monitoring of the farm,569443,o
apskaft,weather info,496521,w
kalen004,cooling fans auto on off,234461,o
blue,weather at east part of tampere,332,w
oe1gca,45 9 khz rf signal strength receiver for detecting sids sudden ionospheric disturbances triggered by an x ray burst of our sun,392524,o
jakubfranek,diy weather station brno nov l skovec,322828,w
jdi123,the 5v version dht22 and nodemcu on mongoose os,550421,t
shaunorman,temperature reading for all the pool sensors,398808,t
reneko,temperature and humidity sensor,288821,t
sashacmc,fields 1 2 3 5 6 first device,63701,u
vabbott,temps humidity barometric pressure,275557,t
hawkhawk,my first channel is my first channel,571082,u
pditty1995,realtime logging of data from emu 2 energy monitor home is 3000 sq ft 1st floor and 2500 sq ft basement 1st floor is conditioned air space using geothermal all electric home with heat pump hot water tank and icf construction,570680,e
manosatyasai,home automation using computer vision,570684,o
kumarks03,rain water analysis,470058,o
infoivte1,to measure air quality and sound system in db,569822,o
karbonbaron,collecting data from weather meteo station nova jezna cz,533924,w
tihorb,random temperature and humidity data passed from a java program at an interval of 10 seconds,570235,t
sidramehboob,just knowledge,572857,u
patata221235,weather condition display,572859,w
lucbel01,the temperature in my workroom,213920,t
bamboe32,weather in vilar formoso portugal,357090,w
bamboe32,weather in penha garcia portugal,357091,w
bamboe32,weather in anadia portugal,357093,w
bamboe32,weather in avel s de caminho portugal,357094,w
meisterq,esp wroom 32 and bme280 powerd by an 6v 4 5w solarpanel with an 2500mah 1c 3 7v lipo,437049,e
bamboe32,weather in alvares portugal,357096,w
bpowell2008,monitor the current draw of the water heater and the temperature of the outlet,530269,e
coop28,light and temperature readings from my chicken coop you can see the coop at www thechickinn us,306215,t
addergebroed,temperature measurements on central heating,263700,t
harsha_uom,temp and hum in server testing,137387,t
geovogel,analyze of data acquired from home weather hvac and electrical systems,306016,w
webheart2,heart without heart,574046,o
macraj,test thingspeak,574047,u
ashi2512,we are collecting data from moisture temperature and humidity sensors and storing it on the cloud server,570909,t
mikeegner,weather data from the misty valley farmhouse,373128,w
johnvanlaanen,indoor locations,209666,o
csnbailey,loft temperature reading and ventilation fan status,209664,t
wrangsri,test with pi,503375,u
szabonandi73,solar hot water system esp8266 as thingspeak logger from serial csv data,43709,o
drsijosae,home power consumption measurement,118103,e
tlharv18,local temperature humidity,522575,t
rgruenig,test node for photon to particle cloud to ts channel for mutual air prototype mk2,562224,o
habibasabrina,the sound sensor will detect the sound,572215,o
cjdau81,receiving temperature and humidity data from nodemcu also receiving data from thingspeak to feed an amazon alexa skill to read the glasshouse temperature,220364,t
veneto,temperature and humidity,227329,t
dbonzon,indoor temperature humidity pressure luminosity bme280 wemos,251751,t
indridcold,dht22 temperature humidity sensor driven by a raspberry pi 3 running a python script,320096,t
jeetkoradia2000,best tycoon channel,571746,u
jeetkoradia2000,best tycoon channel,571747,u
jeetkoradia2000,best tycoon channel,571744,u
jeetkoradia2000,best tycoon channel,571745,u
jeetkoradia2000,best tycoon channel,571742,u
jeetkoradia2000,best tycoon channel,571743,u
avikoti,first channel thingspeak,571740,u
jeetkoradia2000,best tycoon channel,571741,u
jeetkoradia2000,best tycoon channel,571748,u
dickinsonlabs,6 onewire sensors with raspberry pi and python 1 neptune r900v3 municipal water meter,63342,o
adriangarbacea,water heater solar panel monitoring,543348,o
draghi,different parameters of the aquarium,236702,o
stankopetric,esp wroom external sensor temerature pressure humidity altitude,426347,t
kingster,electric line voltage as measured in hsr bangalore,463274,r
mberkelm,second esp8266 module for testing sensors periferal devices,255588,o
cohome144,temp_light intensity reading,263399,t
sonny1,monitor temperatures of t wort 3 4 wort in top 1 4 of fermenter t wort 1 4 wort in bottom 1 4 of fermenter t chamber inside chamber on outside of fermenter 1 4 from bottom,477830,t
casstudio,cas studio temperature and humidity earth straw wall measurements,299656,t
razibu,local temperature and humidity near lausanne switzerland feeding weatherstation display source code based on code from squix78 https blog squix org,299651,t
mutton74,highfields,225216,u
RobinMecha,dassault systemes hackathon 2018 perth mechatronics,572047,u
lirika911,weather,573272,w
astrotutor9,getting the temperature and atmospheric pressure from the summer house in the garden in cornwall uk,301120,t
capsicum66,measure of temperatures,59862,t
lukeender,this is temperature and pressure data from my room in jena germany and just outside of it,214866,t
techabilla,bandwidth monitoring of home internet connection,279203,o
oe1gca,weather station placed in my garden,392547,w
oe1gca,weather station placed in my garden,392548,w
elise10madds27,weather engadine nsw,571538,w
elise10madds27,weather station engadine nsw,571535,w
rjholt,log of a pendulum regulator clock time keeping error against the ntp time reference using a nodemcu esp8266,402286,o
sjdttt,temperature humidity and atmospheric pressure in the pod,224306,t
flexusmark,receive temperature updates of the inside temperature,215409,t
juntemp,alert for high temperature with jun temp sensor,302473,t
ermin000,powered by arduino and dht11 dht22,141559,t
wueber,uploading data from a raspberry pi,383108,u
plk83its,g f server room temperature and humidity,329254,t
hypocrite420,esp8266 nodemcu lua 1 0 with dht11 22,294179,t
hypocrite420,esp8266 nodemcu lua 1 0 with dht11 22,294176,t
leestephens,test channel for weather station experiment,573789,w
j1mth33nchant3r,if temperature is too high hot is diplayed,573800,t
dhanselm,channel for lorawan test,573874,o
asmae96,embedded system project which works with an stm32f4xx microcontroller,570375,u
mossadmobile,dht22 temperature humidity sensor driven by a raspberry pi 2 running a python script,400620,t
strejda,small solar powered meteo station in city opocno czech republic value from sensor bmp280 2pcs communication over wifi with esp8266,298044,t
anmorgul,check tempereture from hives by ds18b20 over omega2,389852,t
mpesavento,esp8266 nodemcu with dht22 bme280 ds18b20 and ldr sensors,362137,t
bruceleehk,ape laser rh monitor,573506,o
petkov,themperature,362138,t
irfanbstr,testing sensor with nodemcu,570219,u
sergivaqx,temperature and humidity from dht22,570218,t
salmaabdelfatah,establish tcp ip connection,570217,o
extraman,electrical power meter,290380,e
lafudoci,estimated time of arrival project of monero xmr transaction experimental project,321751,o
superkoll,this channel is used to monitoring movements in a specific area,230347,o
mdurohtak,monitoring the temperature and humidity using dht11,571299,t
jryd13,a simple app to track the player count over time,319772,o
mjtiern,crawlspace info,399701,o
anoush,posting data from inference to this channel,570969,u
mariamalik678,iternetnet of thinking,572850,u
lmar206,arduino monitor for 4 herb planters,475554,o
itoshin,brightness sensor value of my wifi clock,213838,o
stevempotter,for collecting heating oil usage data,377827,e
timburrow,temperature at home,208955,t
juzzie_tspk3,esp8266 based geiger counter weather station w bme280 and 4x si 180g gm tubes,217496,t
oe1gca,continuously transmit a sinus signal,393082,o
khaas15,testing sending cpu temperature to iot,465089,t
rasensurfer2,what is the air like,425182,o
parkercraftsmen,eight one wire temp sensors and nodemcu over wifi,572187,t
bamboe32,weather in guas boas portugal,357095,w
usman04,this channel allows you to see the highest and lowest amount of power consumption it can also calculate the average humidity of your working environment as well as high and low temperature,467492,e
hibs1971,rolling 7 minute average minimum maximum of wind speed measured in miles per hour using homemade wired anemometer homemade wireless temperature transmitter using mcp9700a,337025,w
pedroleitealves,temperature and humidity sensor based on esp8266 and sht31 with 3d printed case uploading to thingspeak,498731,t
tel1203,environment monitoring from wio node,219897,w
mxs216005958,to measure the temperature and the voltage,548448,t
rwill64,temperature and humidity located in germany by,5186,t
radkoa,si7021 temperature relative humidity sensor mh z19 co2 sensor iot thing esp8266,86698,t
misterpib,measuring temperatures in and around a shed to test insulation effectiveness,265917,t
utopiaplanitia,power usage from a home power monitor designed to record data every minute,1190,e
nitingowda,temp humidity,573602,t
bigguskurtis,the thing with the stuff in the place with the people at the time of day,569492,u
adamir,testing,361019,u
nswdpi,path 1 oai bom weather site,462617,w
jakarta310378,monitoring water quality of pond fish farming,563611,o
trmyers2,home indoor weather station data from nodemcu trm,279442,w
msim2247,in house environmental monitoring,279194,o
stefan1960,miniyun test at home,407984,o
lz1ght,water heater controler,100173,o
RJCamper,a channel to measure the height,571517,o
twoods,display graphs of in service system,476022,u
rcalderon,envision power monitor,259614,e
kai5er,checking temp and humidity,400290,t
morrisyeh,low cost lass system,230893,u
hypocrite420,esp8266 nodemcu lua 1 0 with dht11 22,294153,t
anthonyjclarke,with sht30 shield,294484,t
tsmooth3,modem statistics,290816,o
sayubhosale,wether,573853,w
rsoft1,my smart fridge on esp8266 with simple energy wattage metering kharkiv ukraine,172216,e
draghi,different sensors in my my home,265741,u
qbkiot,iotshit,570905,u
domisy,test for the slit on voltage raining slit status,264168,e
silicondad,first attempt,223492,o
ajft64,home linux box as per http community thingspeak com 2014 05 official tutorial monitoring linux server statistics,30753,o
raspithings31368,the raspberry checks the temperatures and controls the water tank if the water is too colt for the bathroom heat it up the raspberry has solid state relays to switch the heating elements and the pump,143188,t
davidtilley,weight measurements taken from an hx711 load cell amplifier this is the full weight of a keg including its remaining content,360000,o
kb3mij,radiation monitor with bme280 barometer temp and humidity sensor,399721,o
rexlee2,this measures reports the status of a solar charger for batteries on the boat nellie brett,496175,e
pteridin,the measured room temperature and humidity,370125,t
kaz19610303,fgn 3f shared office,339533,o
ppet36,esp8266 thing with dth22 sensor located in czech republic vysoke studnice,379800,t
darethehair,lolin esp 12e esp8266 nodemcu sb mc with bosch bme280 weather sensor,158388,w
jeffry99,give real time temperature of surabaya,516179,t
kdkanishka,data source for kradiator room temperature widget,258132,t
piyushkumar10,using led notifier,570943,o
jhkanguk,home temperature humidity,221631,t
ams12892,arduino uno based monitoring system for severinghaus lab dissolved noble gas equilibration experiments updates every 2 5 minutes with readings of top and bottom water temperatures and near surface pressure air temperature and humidity,337043,t
testman99,data from my particle boar,213423,o
radiation4u,arthronics data systems background radiation monitoring system station michendorf west germany,242985,o
filipwie89,inhouse temperature and humidity logger,429255,t
c1upton,indoor and outdoor temps of the del monte hoop house particle photon gathering temp data from two ds18b20 digital temp sensors and forwarding to thingspeak with webhooks,444318,t
Vikramkunchala,reads,510329,u
aniketthorave19,first channel on things speak,571700,u
ifuley,home weather station agyagfalva lutita,227676,w
schumit,solar array voltage and amps,500711,e
michaelfung,latencies for various hu services,512676,o
brucething,shows when people trip the sensor at the main door of steamworks in rohrbach library,310993,o
ody1908,updates every 30 minutes,493691,u
turnpike61,a solar iot sensor that uses aprs fi,285487,o
druv03,temp humidity,573629,t
anracomm,measures outside temperature and humidity and water temperature of the spa,268054,t
ischock,data from a respirable dust sensor sds011 outside my window in stuttgart,256386,o
proconsol,twice daily logs and running temperatures of the front cabinets 1 and 2 and the cool rooms 1 and 2 at the ashgrove store,143757,t
janu5111,switch with led,571224,o
sv1bee,arduino mkr1000 with dht22 and maxsonar mb1240 for indoor temp hum and oiltank volume arduino uno with ds18b29 for solar boiler and davis vantage vue for the rest,143532,t
jolich,a nodemcu with 3 ds18b20 monitors the temperatures t o t u of a storage tank heated by a combination of oil boiler wood boiler and solar panels the temperature of the wood boiler t hv and the temperature of the exhaust gas t ag,222975,t
akshatakanungo,iot workshop,573717,u
kurskaya22,heating boiler,218474,o
rayellam,r r water leak detector,311730,o
leglin,air temperature in csc room,279425,t
blebox_tspk1,heatbox v0 1,425025,o
tortyl2,home monitoring,308597,o
orrisis,scale with wemos d1 mini espeasy domoticz,436421,o
sonashree,using the internet of things iot in homes and industries it is possible to control any electrical or electronic equipment,571574,u
keerthanavelu,to control the temperature,571579,t
rybakdr,house temperature,241554,t
jgdeak1,monitor cto office,349526,u
sagezee43,sends a forecast to user via thingspeak,570622,w
humleo,lchome weather sensors,211325,w
rockgeo,greenhouse in berthoud colorado,70030,u
adminsonali,we need to maintain sensors data permanently over the cloud,571305,u
jros1992,tank level and pump state for pond,488590,o
robot208,output from pibot,301529,u
rahul078,it shows the air pollution in the air,560482,o
bamboe32,weather in porto portugal,357038,w
bamboe32,weather in amarante portugal,357039,w
bamboe32,weather in castro daire portugal,357036,w
bamboe32,weather in trancoso portugal,357037,w
bamboe32,weather in feira portugal,357034,w
bamboe32,weather in arouca portugal,357035,w
bamboe32,weather in oliveira do hospital portugal,357032,w
