author,disc,channel_num,type,azure_keywords
lukeskywalker63,home made station based on arduino nano dht22 and bmp180,467050,w,station
pvasired,monitors the temperature and humidity in the lab,542015,t,humidity
qbunjo,heating curve computed by the matlab gathering data online from sensors in the house,303596,o,sensors
agricultureiot_tspk3,updated every 15 minutes this is the first lora weather station installed in the felton valley with the assistance of cambooya landcare association this is a demonstration evaluation and educational project by queensland daf and dsiti,321341,w,dsiti
msaishu,working on wifi module,571013,o,wifi module
unclevlady,temperature pressure and humidity readings in moscow koptevo,293620,t,temperature pressure
liudovyk,personal weather station,535102,w,personal weather station
caproni48,test arduino uno wifi analog read a0 and a1 dht22 for humidity and temperature,391599,t,test arduino uno wifi analog
estave,pig easy sow feeder 1,559889,o,easy sow feeder
rotwang_tspk5,solar power generation,390643,e,solar power generation
eibenoria,this clock is eibenoria wifi clock,271398,u,eibenoria wifi clock
gennok,solar powered wifi weather station wemos d1 mini bme280,285318,w,solar powered wifi weather station wemos d1 mini bme280
shenriksson,esp8266 d1 mini with dallas ds18b20 temperature sensor,211935,t,esp8266 d1 mini
bobver,chicken coop heater light and temperature controll,226671,t,chicken coop heater light
bajo1305,lab temperature and humidity measurement,226675,t,lab temperature
a987456321,nodemcu with bmp180 and dht22,310731,t,nodemcu
jayman69,indoor and outdoor temperature plus outdoor humidity and tank level,518808,t,outdoor humidity
madcgroup,crop monitoring system,565766,o,crop monitoring system
thispi242,wemos d1 show temp humid for 7 days,526396,t,days
akshay0000,iot workshop,573718,u,iot workshop
nidhishjain30,iot workshop,573716,u,iot workshop
mangalsanidhya,iot workshop by platforuma,573715,u,iot workshop
phsorx_tspk9,prater bedroom tempaerature and humidity,443551,t,prater bedroom tempaerature
shilajit,a wemos d1 mini pro based weather station to measure ambient temperature humidity barometric pressure amount of rainfall,573711,w,rainfall
oe1gca,arduino uno wiznet shield measuring temperature with kty10 6,394340,t,arduino uno wiznet shield
redhawk454,esp8266 with bme280,370464,t,esp8266
snowycoder,things about my vm posted trough a bash script called every 10 minutes,412515,u,bash script
dorkygrin,tracer upload from esp8266,425842,o,tracer upload
sparc500,temperature humidity barometric pressure altitude sensor,165877,t,temperature humidity barometric pressure altitude sensor
conasa,monitors a medical freezer at 80c,73451,t,medical freezer
conasa,monitors a medical freezer at 80c,73452,t,medical freezer
idesignstuff3,front porch shaded,322939,u,porch
razzmatazzrr,monitoring temperature and humidity,546378,t,temperature
iaqyellow,iaq air quality test of live data to the channel feed,545681,o,channel feed
ocasquero,faculty of engineering in bilbao university of the basque country upv ehu,546370,u,basque country upv ehu
gjoci31,electricity meter,272991,e,electricity meter
choffee,dust in the space,505444,o,dust
intelekiot009,this is to monitor temperature humidity and light intensity,464634,t,light intensity
sstirley,heating,403842,o,heating
avernois,temp and humidity in my humidor,211219,t,temp
bthaase,data logger in the utility server closet at home,573947,u,data logger
chisholmtrail,a ds18b20 temp senor in my basement connected to an esp8266 01 running nodemcu,36102,t,esp8266
mnouri,temperature humidity,270968,t,temperature humidity
nyaikamba,heart beat project,566888,o,heart beat project
farid7666,contains projects in iot robot programming course,566885,o,iot robot programming course
balajikumar05,testing,571817,u,testing
roboticgnomelab,this channel displays data collected by the flc robotic gnome lab buoy timecontrol routinely runs a matlab script to parse analyze the data and post it to this channel,438239,o,matlab script
mogaraghu,a generic data logger that is used to display the water level in overhead tank sump as a percentage,393750,o,generic data logger
evansr,esp8266 and ds18b20,271619,t,esp8266
esmyder650,this is a rad mon geiger counter located at the cly institute for radio research directly west of 3 mile island,245463,o,mile island
durkvell1,measure temperature and air humidity in and around my house,216920,t,measure temperature
evansr,temperatures at a cabin in willow canyon catalina mountains near tucson arizona readings are taken outside inside and in the crawl space under the cabin,52827,t,crawl space
brothauge,temprature humidity and heat index data logger,291412,t,temprature humidity
jcgtrace,solar water heating system direct coupled separate vac tube array connected to a well insulted 150 litre geyser using natural thermo siphon for heat transfer electric element backup is connected with timer set on from 18h00 to 20h00,267538,o,20h00
rhodeda,temp and humidity,398988,t,temp
anusha0103,weather monitoring,570701,w,weather monitoring
hgraefenstein,hg_testlora01,572563,u,hg
srinix,created by srinix college of engg bls 7th semester 2015 2019,572568,u,semester
rberkelm,monitoring hive temperature humidity and weight,233962,t,hive temperature humidity
Nithendra99,project to monitor the weather,573600,w,project
ps08150815,showing the values of an more than 20 years old thermometer working with a z 80 cpu from zilog,218332,t,values
abdurrehman57,this channel is use for temp and humidity sensor,571035,t,humidity sensor
prashantk2152,read temp by dht11,571154,t,temp
dimassp2002,to measure the analog output from potentio sensor,571150,o,potentio sensor
bobbasham,data from node in box on water center roof,257475,o,box
astrofraggle,temperature in the swindon makerspace,331332,t,temperature
larrylchu,tvoc measured by iaq core c,317053,o,tvoc
ajaysonar,upload temperature and humidity,197636,t,upload temperature
jmazanec,thermometer ds18b20 simple light meter photoresistor and bh1750 for lux metering on balcony west side 2nd floor in shadow,211008,t,balcony west
natalikupsik,this channel include data receiving from device,464861,u,channel
utopiaplanitia,temperature of upper and lower compartments,14333,t,temperature of upper
tanisdelta,analyzing data of weather factors in cultives,570280,w,data of weather factors
anishaagra,iot workshop,573773,u,iot workshop
matthewlabuda,esp weather station,573774,w,esp weather station
rupanzleeugune07,for working,572822,u,
umarbiliyaminu,change temperature from celsius to farenheit automatically,471028,t,temperature
redbeard28,humidity and temp from oregon and fibaro daaf,299567,t,oregon
redhawk454,inter exterior temperature conditions,225615,t,exterior temperature conditions
jerryt74332,weather master_br node,347060,w,weather master
sensorla,nus l5 people counter,430934,o,nus l5 people
sensorla,nus l3 people counter,430931,o,nus l3 people
alleebell,temperature humidity,504157,t,temperature humidity
hessch,experimental outdoor geiger counter with 20 tube,256401,o,experimental outdoor geiger counter
m2shimiz,temperature humidity and pressure in dresden klotzsche germany from bosch bme280 sensor,248788,t,pressure
ramanraja,room occupancy status,530530,o,room occupancy status
bluddenweather,weatherstation based on wemos d1 mini and bme280,413628,w,weatherstation
jacek53k,tmp,19920,t,tmp
kobusm_tspk3,temperature humidity,16207,t,temperature humidity
navatar,wifi signal strength temperature humidity itb home,353968,t,wifi signal strength temperature humidity itb home
mifulapirus,do you want to know how many times you have squished your connected gato,270766,o,connected gato
baennjer,outside temperature homematic differential sensor preassure humidity bme280 hooked up to a wemos d1 mini windspeed meassured with an anemometer connected to a second wemos d1 mini all data is collected by a raspberry pi running iobroker the tran,435169,t,tran
peteh59,temperature humidity light level and barometric reading in my office and outside the window,11467,t,office
drytech,dry walls within 200m2 protection against the return of rising damp it destroys removes mold the smell disappears,404300,u,smell
thedavgar,know how to work with thingspeak,519907,u,thingspeak
aqistation,this data is from a weatherduino pro2 plus air quality monitor development module weather station is located in darra qld australia,328383,w,data
rstieb,raspberry pi temp monitoring of motorhome,549962,t,raspberry pi temp monitoring of motorhome
olipau12345,diy mcu coffee plant channel esp8266 dht22 vh400 tsl2561 bmp180 mqtt server test mosquitto org wildcard subscription sensors op 477895 twitter https twitter com mrcoffeeplant,68785,o,diy mcu coffee plant channel esp8266 dht22 vh400 tsl2561 bmp180 mqtt server test mosquitto org wildcard subscription sensors op
charleycatz,temperature humidity test,172866,t,temperature humidity test
ashkhamas,smartthings integration thingspeak monitoring all smart switches kw,175383,u,smartthings integration thingspeak
urevolegg,homemade weatherstation,290781,w,homemade weatherstation
lylestoll,test input from multiple sources,64415,u,test input
gossamer,nodemcu with 4 ds18b20 temperature probes i will eventually move the probes over to the furnace and hot water heater etc when i get a more permanent enclosure for it,233302,t,permanent enclosure
sacmohan,co2 temperature humidity air pressure,437935,t,co2 temperature humidity air pressure
ast0815,my thermometer experiment,216948,t,thermometer experiment
volta97199,oder turn turbine rotation navigator,477889,o,oder
tpetchy,second ieee weather station,197184,w,ieee weather station
hydroalert,water level from hydroalert device at lakewood drive at bull creek crossing,276000,o,hydroalert device
patcher,power supply watch,265321,e,power supply watch
niyas786,sketch_sep09a_monitoring_door_opening_energy_use,572504,e,opening
paulbocad,all in one,571652,u,
ecaprovn1234,family medical tphcm,403568,u,family medical tphcm
kolia,temperature humidity heat index,103920,t,temperature humidity heat index
softis,sky quality meter at taursa observatory,306491,o,taursa observatory
billdonlon,this board measures the temperature light intensity,332923,t,board
arivu1983,display of industrial safety and hazard parameters,572580,o,industrial safety
tedhale,raspi 06 firewall,65960,u,raspi
sadasing,computed data from 01d25ff,422758,u,computed data
allanayr,temperature from current cost via hah,215639,t,temperature
hloupis,air quality station from lorathens network national rd dafni,326536,o,air quality station
krithikaraja,if temperature is above 20 degree need to get mail,571582,t,temperature
kavitha126,temperature is cool,571583,t,temperature
ishita2512,iot workshop,573740,u,iot workshop
kulkarni30,reading of temp sensor,571053,t,temp sensor
pankajsharmaj,to receive the donate easy parameters,568725,u,easy parameters
nithiyavs285,testing purpose,571054,u,purpose
dtink13,send text from sim800a to thingspeak server,564701,o,text
polipkasdu1234,temp of room,278370,t,temp of room
jtaylor267,this is data from a weatherduino proplus air quality monitor,328043,w,data
bamboe32,weather in sobreira portugal,357047,w,weather
ziplock9000,a testbed for the technology used for a diy arduino based weather station in hebburn,569896,w,hebburn
kashishgupta,iot workshop,573752,u,iot workshop
ayushinema,iot workshop,573750,u,iot workshop
koen77,weerstation in onze hobbykas,280097,w,weerstation
divyachhabra14,iot workshop,573758,u,iot workshop
sv1bee,costal piko 10 1 basic plus some php code,256053,u,php code
qbunjo,pomiar temperatury ds18b20,303448,t,pomiar temperatury ds18b20
szsolt1966,temperature humidity pressure monitoring,371130,t,temperature humidity pressure monitoring
samavia97,just for learning,572800,u,learning
moiamushtaq,dance machine with programming,572804,o,dance machine
shahone0311,my personal server,572805,u,personal server
arslana01,i am a software engineer,572806,u,software engineer
mrtab101,to learn,572809,u,
ik0adr,ik0adr thingspeak test,89050,u,ik0adr thingspeak test
jk0008,wc outside dht 01,111929,u,wc
razvanelgsm,outdoor weather,217177,w,outdoor weather
timshep,humidity and temperature monitoring over a week,413740,t,humidity
boneco,this channel displays the vocs and equivalent c02 in the air using various environmental sensors the values are currently updated every 10 minutes,354599,o,vocs
datfuzzy,temp humid of parts room,354776,t,humid of parts room
woinova,th 007,310258,u,th
yshinza,by home,129357,u,home
alex51264,temperature and pressure,211259,t,temperature
redhawk454,daily high low temps heating vent,377674,t,high low temps heating vent
eburman,humboldt county california,363319,u,humboldt county california
ashbury,channel for extended fhm demonstrator 2,462321,u,channel
thucar,sensor information from my top bar honey bee hive,325282,u,sensor information
saylur,posting light and temperature data from my particle photon,451574,t,particle photon
krzychosneer,my diy weather station data,418660,w,diy weather station data
ericwebb,samplant humidity and temp north west corner,451412,t,west corner
rkochis,pressure readings from the main well pump,271656,o,pressure readings
gicheve,heating system,272873,u,heating system
msahar,esp32 thingspeak node red,498387,u,esp32 thingspeak node red
pasagame,pzem 004t and esp8266 energy monitor,429105,e,esp8266 energy monitor
phd3255,weather station home,406203,w,weather station home
nisone,arduino and esp for iot,570096,u,arduino
gturner30,temperature at lvl 2 of the gordon building,394446,t,gordon building
earmaster,air quality sensor at visionsbox,490329,o,air quality sensor
davidhelene,tele information,402184,o,tele information
ecaprovn1234,tphcm eca gpis4 4eth,510459,u,tphcm eca gpis4
tkerby,outdoor temperature and humidity,139242,t,outdoor temperature
palserver,pal server room temp and humidity,552456,t,pal server room
ssuffian,warrington,387189,u,warrington
tthosta,location germany bw,518150,u,location germany bw
hamzakhan831,i me and myself only,572796,u,
f160285,i am a software engineer,572797,u,software engineer
umershah,internet of things,572799,u,internet of things
ahup2017,this channel shows temperature pressure and humidity logged by andre raspberry pi and a bosch bme280 sensor,238163,t,bosch bme280 sensor
phsorx_tspk9,kitchen temperature outside temperature,443537,t,kitchen temperature
dcrombie,ground water level,213913,o,ground water level
techswarup,checking temperature measurement,570242,t,temperature measurement
naveenvaid,status location,572869,u,status location
fandiyar393,roses are red,572866,u,roses
yamahabbike,my research projects,572864,u,research projects
cindykhay,please be accurate,572865,u,
nicknewey,temperature sensors in glycol tank,439316,t,temperature sensors
voidstar1996,humidity and temp sensor,573592,t,humidity
zliudr,decagon 5tm soil moisture and temperature sensor in my backyard sdi 12 usb adapter and raspberry pi zero,462583,t,tm soil moisture
marconilabws,3d printed weather station using arduino based mbili board wee wifi board and sensors,284283,w,d printed weather station
pharmboyz,ivf clinic sister to roseville f1f134403010,225929,u,roseville f1f134403010
t3alliance,the mtv team,531157,u,mtv team
toinesiebelink67,temperature sensors living room incl outside,569828,t,temperature sensors
danrcottrell,shows iphone gps coordinates lat lon altitude and speed uses blynk gps widget and esp8266 wifi micro controller,511882,o,esp8266 wifi micro controller
jamestarrant,measures the temperature and humidity of home brew during fermentation and carbonation,555482,t,fermentation
juliannof,iroomba weather,253878,w,iroomba weather
marwol18,it is a miniature monitoring system that connects living plants to the world of internet,141190,o,world of internet
asifatariq,this is my new channel,573012,u,new channel
masirpan16,automatic door lock with rfid basic iot,573014,o,automatic door lock
rpispy,this channel monitors the air and water temperature of my 10ft pool,293211,t,channel
takigikou,bedroom temperature humidity and atmospheric pressure in taipei taiwan,316996,t,bedroom temperature humidity
tomboy1710,temperature and humidity somewhere in germany,246721,t,temperature
eakawat,test thingspeak,572652,u,test thingspeak
thomashkolbe,dht22 sensor attached to an esp201 esp8266 based microcontroller,64242,t,dht22 sensor
widianto2796,monitoring that i have,557630,u,
nordicp,tipping bucket rain gauge modified pro mini 3 3v nrf24 sleep mode battery operated low power 6ua during stand by,453869,w,bucket rain gauge
myothida81,to help poultry firm,564421,u,poultry firm
ngothucanh,for calibration,504261,u,calibration
gupta4327,real time temprature analysis,572655,t,real time temprature analysis
ok1phu,arduino nano esp8266 bmp180 dht11 dht22 ds18b20 wh1080 anemometer wind direction meter and rain gauge,49935,w,rain gauge
bamboe32,esp8266 with mq135 to measure air quality and dht22 to measure temperature and humidity,226775,t,temperature
anusha0103,measuring weather parameters,571307,w,weather parameters
anusha0103,measuring weather related parameters,571302,w,weather related parameters
anusha0103,measuring weather related parameters,571301,w,weather related parameters
andriyhz,ternopil real time outdoor air quality monitor point 3,507656,o,ternopil real time outdoor air quality monitor point
maxmarder2017120,the temp of him,381796,t,temp
sfewings,main power consumption,573071,e,main power consumption
workshopfriend,solar off grid with tracking,91343,e,grid
orangecinec,using the arduino temperature and humidity sensor,573637,t,arduino temperature
mrjbening,basement furnace and freezer,318358,o,basement furnace
tg1024,esp weather station,424415,w,esp weather station
al1fch3,test sigfox wisol arduino raspberry esp8266,311334,u,test sigfox wisol arduino raspberry esp8266
oe1gca,kty10 6 connected to the adc of a ts 7200 cpu board running ts linux,392535,o,adc
nostrebor,top and bottom of evaporator panel,368850,u,evaporator panel
kryostoffer,the daniel boat,407591,u,daniel boat
ebpalomino,my home channels tinaco taguatinaco,409795,u,home channels tinaco taguatinaco
jman12,indoor from esp8266,128017,u,esp8266
darethehair,lolin esp 12e esp8266 nodemcu sb mc with bosch bme280 weather sensor,321253,w,lolin esp
karoon,weather at thasala by bmp280,361024,w,weather
nirmithaaj,temp humidity1,571949,t,temp humidity1
styfrombrest,weather,529967,w,weather
deathkiller183,only temperature in celcius,572841,t,temperature
sehrishrajpoot,i will make some useful and successfull hardwares for use,572848,u,use
marki14,temp_testing,394877,t,temp
aki,information of crayfish aquarium,441,o,information of crayfish aquarium
chisholmtrail,inside air temperature based on esp8266 wifi module and ds18b20 temp sensor,1330,t,ds18b20 temp sensor
petrporeg,temperature humidity and pressure with bme280 wemos,284916,t,bme280 wemos
poziom500,my flat,457372,u,
zwieratko1,meteo data from vihorlat mountains slovakia measured by bme280 sensor data is transmitted by iot lpwan sigfox node uart modem 868mhz,428577,o,iot lpwan sigfox node uart modem
witwong,temperature humidity pressure light from nodemcu with dht22 bmp180,403420,t,temperature humidity pressure light
trmyers2,home outside temp humidity from nodemcu and dht22,281577,t,nodemcu
rimmonchu,a little iot lab,448773,u,little iot lab
shenriksson,checking in out temperature from central heater using one wemos d1 and two ds18b20 code and schematics will be avaiable soon,310218,t,schematics
raspberrym97,display weather report,572203,w,weather report
simmsdp,this is the temperature swings of bedroom on the first floor with the heater vent open,470845,t,temperature swings of bedroom
mcmguti,pfsense comcast speed test,573073,o,pfsense comcast speed test
rainmonitoring,water level monitoring,281754,o,water level monitoring
lpikni,esp8266 counter iot,352899,u,esp8266 counter iot
unisoft4,unisoft,343306,u,unisoft
steyrc,collection of data from arduino weather station new data every 10 minutes,210213,w,arduino weather station new data
tthosta,location germany bw,357142,u,location germany bw
rcalderon,envision power monitor,257571,e,power monitor
baurd,with alphasense opc n2 running on alternator power,312183,e,alphasense opc n2
bpowell2008,tracking drift in time with an atmega328 acting as the rtc using 32 768 khz crystal,483394,u,khz crystal
anracomm,monitors the house temp humidty downstairs temperature upstairs to interface with ducted heating controller and also measures 2x roof cavity temperatures and outdoor temp to evaluate heat extraction during winter,271692,t,ducted heating controller
dberendsen,temperatures of two ds18b20 sensors,566807,t,temperatures
darnibal,data from soil moisture temperature humidity and luminosity sensors,388026,t,luminosity sensors
lioncr,temperatur in my house and outdoor with teperature tubes out and in of gas boiler,8590,t,gas boiler
njtaki,this channel is about some basic commands and projects based on arduino uno,573245,u,arduino uno
paride.iosca94,temperature humidity pressure cpm dose us and rssi,258575,t,rssi
briancarney,heating at home,71413,o,heating
carre44,pm2 5 pm10 contentration in my house in warsaw,348225,o,house
teokan,radiation level in montreal click on more information,9892,o,radiation level
oe1gca,weather station placed in my garden,392550,w,weather station
oe1gca,weather station placed in my garden,392551,w,weather station
kayn02,sense voltage and current of battery,276426,e,sense voltage
dhowdeshell,esp8266 weather station,571522,w,esp8266 weather station
shenriksson,some esp8266 mini d1 with ds18b20 temperature sensors latest experiment is with the bmp280 exact barometric pressure and really good temperature,214306,w,esp8266 mini d1
bricogeek,im a plant living near bricogeek,305320,o,im
sterling101,weather station data at langar airfield,568743,w,langar airfield
naspi1986,smart home,358633,u,smart home
michaelsexauer,temperatur pressure and humidity in mayen germany,293395,t,mayen germany
petrporeg,temperature with ds18b20 esp8266,406953,t,temperature
tzivkovi,my room temperature humidity,82350,t,room temperature humidity
krieg2018,temperatur ofen,474207,t,temperatur ofen
sanjay86,testing,571829,u,testing
vdoroshenko,trakian beach weather data,268760,w,trakian beach weather data
saqlainmushtaq,this channel is for iot practice,572801,u,channel
katouohbe,three ds18b20 sensors,303425,t,ds18b20 sensors
wboytv,broadcast studio air conditioning temp monitors for sensing issues with units using react and http plugins i can send alerts to engineering dept cellphones,4032,t,http plugins i
thierryhzz,temperature and humidity in the apartment,480613,t,temperature
marcelstoer,ttn lorawan gateway frightanic one,275145,u,ttn lorawan gateway frightanic
bamboe32,weather in sever do vouga portugal,357088,w,weather
bamboe32,weather in pombal portugal,357087,w,weather
bamboe32,weather in benavente portugal,357086,w,weather
bamboe32,weather in reguengos de monsaraz portugal,357085,w,weather
bamboe32,weather in fronteira portugal,357084,w,weather
bamboe32,weather in portalegre portugal,357083,w,weather
bamboe32,weather in torres vedras portugal,357082,w,weather
bamboe32,weather in aguiar portugal,357081,w,weather
bamboe32,weather in montargil portugal,357080,w,weather
Rick2050,filtering out data,512458,u,data
danee66,around,141154,u,
vunland,measure 4 x strom volt auf 3 phasen,291399,e,measure
keplerian,radiation and weather louisa va,242506,w,radiation
timshep,humidity and temperature monitoring over 24 hour period,370111,t,hour period
navatar,wsth itb rack office,399777,u,wsth itb rack office
razgulin,auto watering project prototype phase,226929,o,auto watering project prototype phase
unland1966,in ampere,399990,e,ampere
gvenloki,first try to get some data from the sensor,570971,u,sensor
vicxtreme93,well this is a testing channel,570976,u,testing channel
bdh2007,dht22 temperature humidity sensor driven by a raspberry pi 2 running a python script,463722,t,python script
kwolf1909,home temperature humidity and lipo voltage by esp8266,463804,t,home temperature humidity
griesu62,monitor rssi signal level of iot device,261716,o,rssi signal level of iot device
juliancollison,solar pv mains import export and hot water diversion power values,461653,o,hot water diversion power values
jolich,photovoltaik powered nodemcu with lipo buffer reading a bme280 bh1750 and a sds011 pm sensor,239387,t,photovoltaik powered nodemcu
gauravgaikwad01,first project,530421,u,project
didic1970,datalogger based on arduino with 434mhz radio and bme280 sensor supplied by 3 6v battery for the transmitter and arduino and raspberry with python program for receiver,459924,u,receiver
sajeen44,to plot the data 10min,573052,u,data
manendrashukla,its a best place where anyone can have future career where they can do what they want in the field of iot,570591,u,field of iot
carlodani,test wemos dht11,352875,t,test wemos dht11
sobrighton,wemos d1 mini and dht22 and oled shield in potting shed,262623,t,oled shield
tomboy1710,a hotbed somewhere in southern germany,439675,u,hotbed
suryakk,to monitor any analog sensor value,571750,o,analog sensor value
jimboeri,sensors in hive 1,125070,o,sensors
byteburst,raspberry pi zero w ds18b20 bh1750fvi sensors monitoring aquarium water temperature and lighting,251966,t,raspberry pi
esensora001,contain relay state,294391,o,relay state
cjdau81,outdoor pool temperature data fed from raspberry pi zero w with dsxxxxx waterproof sensor alexa skill also picks up latest temperature to provide a verbal response to what is the temperature in my pool,315718,t,verbal response
unparallel,unparallel innovation weather station power consumption,315845,e,unparallel innovation weather station power consumption
unparallel,unparallel innovation weather station,315843,w,unparallel innovation weather station
nabeelkirmani,data shows the measurement of distance between sensor hc sr04 and object and data transmitting on 2g network via module sim900a on prepaid sim controlled by arduino uno r3,496510,o,module sim900a
bongpb,matlab analysis to compute dew point,573618,o,matlab analysis
olivierhill,temperature and status data of my hot tub https github com olivierhill spaduino,220953,t,temperature
hippo112,measuring dew point,573616,o,dew point
allang,data from air quality sensors connected to a weatherduino pro2 plus system by werk_ag,339087,o,system
hideout,test showing the temperature and airpressure in my shag,322305,t,airpressure
cloe6897,to monitor temperature and humidity of the place for mushroom,570082,t,place
stej,the temperature of the garage,145339,t,temperature
arlemos,monitoring of water consumption for residences of social interest,573266,o,residences of social
tmxmobile1,dht22 humidity and temperature sensor wemos d1 mini pro,469654,t,dht22 humidity
vrehorikzcu,measuring of co2 concentration relative humidity temperature and atmospheric pressure,357760,t,atmospheric pressure
barcri,temperature of the freezers in the garage,314395,t,temperature
mdrelyea,vegtronix vh400 sending data through a solar battery powered xbee dry soil triggers my drip irrigation system powered by opensprinkler,239044,e,vegtronix vh400
oxxyts,aquarium survey and automation system for aquarium,405710,o,aquarium survey
philippesimier,beehive from b107,566173,o,beehive
mbcx5mab,temperature and humidity in various locations in my house,223329,t,various locations
unisoft2,altecsharedsrv,341404,u,altecsharedsrv
clough42,solar powered wireless temperature humidity sensor,144231,t,solar powered wireless temperature humidity sensor
ziroff,relative humidity and c temperature,253959,t,relative humidity
rsoft1,mini weather station v2 bmp280 si7021 ds18b20 sensors with esp8266 nodemcu kharkiv ukraine,159150,w,esp8266 nodemcu kharkiv ukraine
epamsergey,office climate control system,455009,o,office climate control system
